ISO,GDPgrowth,CurrentAccountBal/GDP,GrossPublicDebt/GDP,NetPublicDebt/GDP,PrimarySurplus/GDP
ABW,-0.44799999999999995,4.147,0.8132004981320049,,0.0253217102532171
AFG,0.988,2.8689999999999998,,,
AGO,0.9440000000000001,-8.841000000000001,,,
ALB,2.219,-8.59,,,
ARE,5.065,4.902,,,
ARG,2.7310000000000003,-2.7430000000000003,,,
ARM,3.2539999999999996,-2.5810000000000004,,,
ATG,4.06,6.8,0.9823609226594301,,-0.0008141112618724559
AUS,2.483,-4.649,,,
AUT,1.092,1.923,0.8434627118693268,0.5824733739147093,0.008548794895687283
AZE,0.648,-0.43799999999999994,0.34994483265906584,,-0.04440970945200441
BDI,-3.9560000000000004,-17.684,,,
BEL,1.4269999999999998,-0.14300000000000002,1.0609861317604619,0.9290136245094933,0.00204976967510785
BEN,2.097,-8.988,,,
BFA,3.895,-8.524,,,
BGD,6.8420000000000005,1.861,,,
BGR,3.617,-0.038,0.25644962798207094,0.15619107834392748,-0.02429689175915367
BHR,2.863,-2.416,0.6601726053148765,,-0.16098436298385033
BHS,1.045,-13.655999999999999,0.4780359565807327,,-0.01653663500678426
BIH,3.074,-5.446000000000001,0.4552928006716575,0.3837193031553908,0.006121877842300427
BLR,-3.83,-3.2510000000000003,0.5300633967300634,,-0.012901790679568457
BLZ,3.795,-9.758,0.8116390216474557,,-0.05032330615687377
BOL,4.857,-5.825,0.3979722055334582,0.21661967013256972,-0.05903144747863229
BRA,-3.549,-3.302,,,
BRB,2.211,-6.106,1.4759284731774416,1.4640778753571049,-0.02020950164003809
BRN,-0.405,16.682000000000002,0.029530880863989202,,-0.1452356845539431
BTN,6.183,-28.331,0.9567532766884187,,0.031173249187285892
BWA,-1.6980000000000002,7.757999999999999,0.17911081292018677,-0.07525365245847768,-0.11017622170799501
CAF,4.8,-9.736,0.6399473057165186,,-0.0005337751568231411
CAN,1.001,-3.585,,,
CHE,1.265,10.847999999999999,0.4300658410672765,0.23265423426701176,0.00880836381813985
CHL,2.3080000000000003,-2.287,,,
CHN,6.9,2.7089999999999996,,,
CIV,8.843,-0.608,,,
CMR,5.651,-3.7960000000000003,,,
COD,6.916,-3.7310000000000003,,,
COG,2.6189999999999998,-54.141000000000005,,,
COL,2.9560000000000004,-6.332999999999999,,,
COM,1.034,-0.42100000000000004,0.23870460860400497,,0.0440433074638306
CPV,1.0070000000000001,-3.18,1.2603293026421087,1.1976572001083814,-0.03260259989035848
CRI,3.6319999999999997,-3.467,,,
CYP,1.9809999999999999,-1.462,1.0749633637695861,0.9129184984781873,0.024574456092886932
CZE,5.309,0.245,,,
DEU,1.482,8.902000000000001,,,
DJI,6.5,-31.781999999999996,0.3371728533444555,0.3092317918773787,-0.21126049215369377
DMA,-3.658,-1.919,0.7854671280276816,,0.010380622837370242
DNK,1.6059999999999999,8.776,,,
DOM,7.0329999999999995,-1.858,,,
DZA,3.7,-16.442,,,
ECU,0.099,-2.126,0.3379796555544365,,-0.0468828683653943
EGY,4.372,-3.657,,,
ERI,2.5860000000000003,-1.3659999999999999,1.3249729128232157,,-0.11640165158569797
ESP,3.645,1.128,,,
EST,1.6740000000000002,1.953,0.10000982897582072,-0.022459209750344017,-0.00029486927462158444
ETH,10.4,-10.172,,,
FIN,0.135,-0.858,0.635364783114826,0.20843590771168485,-0.02572947081162573
FJI,3.845,-2.204,0.4620765027322404,0.41147540983606556,-0.008633879781420765
FRA,1.037,-0.368,,,
FSM,3.8539999999999996,4.204,0.2571428571428572,,0.10793650793650794
GAB,3.8789999999999996,-5.571000000000001,,,
GBR,2.349,-4.914,,,
GEO,2.88,-12.008,0.41444136541126086,,-0.002267288071545535
GHA,3.835,-7.686,0.7222120811641611,0.6674284629482246,0.012565987864804281
GIN,3.813,-12.542,,,
GMB,5.867999999999999,-9.775,0.6857408032399596,,-0.005923050961862977
GNB,6.1339999999999995,1.855,0.5460187244040107,,-0.027333047185369018
GNQ,-9.11,-16.24,,,
GRC,-0.29100000000000004,-0.22899999999999998,1.7877909614773808,,0.007299559871137528
GRD,6.438,-3.8369999999999997,0.9008172362555721,,0.021545319465081723
GTM,4.14,-0.151,0.24205945981381932,,0.0012476235741444865
GUY,3.055,-5.098,0.5010095012775909,0.45260039350102316,-0.002108365759049539
HKG,2.388,3.3169999999999997,,,
HND,3.84,-4.663,0.3743334672733789,,0.0001998240679401831
HRV,2.401,4.526,0.8526718411382266,0.7231579195326486,-0.0014398614906247055
HTI,1.2109999999999999,-3.06,0.3024308145518407,,-0.02156527650574539
HUN,3.367,3.5060000000000002,,,
IDN,4.876,-2.035,,,
IND,8.155,-1.051,,,
IRL,25.006999999999998,4.409,0.7693079582134653,0.658641556082932,0.004662449350233123
IRN,-1.5859999999999999,0.33,,,
IRQ,2.537,-6.546,,,
ISL,4.468,5.178999999999999,,,
ISR,2.628,5.26,,,
ITA,0.9520000000000001,1.5130000000000001,,,
JAM,0.85,-3.2060000000000004,,,
JOR,2.383,-9.078,0.9339264932237115,0.9070090475654167,-0.007508353042760072
JPN,1.354,3.1039999999999996,,,
KAZ,1.2,-2.785,,,
KEN,5.718,-6.693,,,
KGZ,3.8760000000000003,-16.000999999999998,0.6489434108653183,,-0.013998034792991224
KHM,7.0360000000000005,-8.988999999999999,,,
KIR,10.296,46.696000000000005,0.19999999999999998,,0.4577777777777778
KNA,2.7260000000000004,-9.119,0.6606012658227848,,0.0814873417721519
KOR,2.79,7.6610000000000005,,,
KWT,-1.004,3.5039999999999996,0.04652916775447452,,-0.07495721289124821
LAO,7.27,-17.986,,,
LBN,0.243,-18.317999999999998,,,
LBR,0.006999999999999999,-20.776,0.25884955752212396,0.20132743362831862,-0.041087231352718086
LBY,-13.023,-54.355,,,-1.3096260737746335
LCA,-0.9420000000000001,6.916,0.6802099977174161,,0.009358593928326865
LKA,5.008,-2.339,,,
LSO,2.4859999999999998,-3.949,0.4219101990433575,-0.009597284369696034,-0.00157383119888906
LTU,2.035,-2.805,0.42589574371443073,0.3498009458412376,0.012985278007855292
LUX,2.862,5.073,0.21968446508771258,-0.12089747034662776,0.011592645195961768
LVA,2.972,-0.47700000000000004,0.34905427631578945,0.29148848684210527,0.002549342105263158
MAC,-21.594,25.26,0.0,,0.13676997576018596
MAR,4.55,-2.14,0.6368783845336303,0.6308527759501998,-0.014082696492737487
MDA,-0.4,-4.89,0.38248623361434625,,-0.012064296504625923
MDG,3.117,-1.889,,,
MDV,2.246,-7.382999999999999,0.5469902218757107,,-0.04825715492317188
MEX,3.2880000000000003,-2.544,,,
MHL,2.039,14.95,0.34254143646408836,,0.03314917127071823
MKD,3.8560000000000003,-1.952,0.38104208933114353,0.3618473076496455,-0.02319868897977293
MLI,6.172000000000001,-5.3229999999999995,,,
MLT,9.521,4.455,0.5864566929133859,0.5012073490813648,0.013018372703412074
MMR,6.992999999999999,-5.059,,,
MNE,3.39,-10.978,0.6875512995896033,,-0.03830369357045144
MNG,2.38,-3.992,,,
MOZ,6.593999999999999,-40.328,0.8811416325406176,,-0.058912011411593114
MRT,0.36200000000000004,-19.787,,,
MUS,3.553,-4.8069999999999995,0.6733976915926838,,-0.013281514931945654
MWI,2.95,-9.384,,,
MYS,5.092,3.034,,,
NAM,6.107,-12.399000000000001,0.3966635588705381,0.34401305274374,-0.06436467767714438
NER,4.294,-20.513,,,
NGA,2.653,-3.1919999999999997,,,
NIC,4.769,-9.079,0.29244657268035534,,-0.009097044842292673
NLD,1.9580000000000002,6.3389999999999995,0.6397041773428713,0.52132439044185,-0.008583958446858586
NOR,1.97,7.905,,,
NPL,3.323,4.985,,,
NRU,2.8080000000000003,-9.486,0.7750000000000001,,
NZL,4.171,-3.147,0.34299590044740497,0.09829364589267857,0.009836535818296993
OMN,4.658,-15.898,0.15471698113207547,-0.4306792452830189,-0.16128301886792454
PAK,4.058,-1.001,,,
PAN,5.78,-7.869,0.3723028205317034,0.34638044038588994,-0.006296487222917741
PER,3.307,-4.785,0.24031068724805824,0.05297741946055779,-0.012117785861763838
PHL,6.067,2.4819999999999998,,,
PLW,10.132,-7.652,,,
PNG,5.2989999999999995,12.013,0.31446023522822736,,-0.030016101932231868
POL,3.845,-0.557,,,
PRI,-1.0490000000000002,,0.5273564463705309,,-0.002399009441262962
PRT,1.8219999999999998,0.11599999999999999,1.287705287277055,1.1386415585426757,-0.00042823217970179464
PRY,3.08,-0.833,,,
QAT,3.658,8.502,0.35546843815447743,,0.06901430699485164
ROU,3.872,-1.2309999999999999,0.39351630956457306,0.296726860401803,-0.0021499099058642575
RUS,-2.5,4.945,,,
RWA,8.873,-14.485,,,
SAU,4.106,-8.67,,,
SDN,1.2930000000000001,-8.283999999999999,0.8231571742887968,,-0.03224920827033653
SEN,6.367000000000001,-5.4110000000000005,,,
SGP,2.241,18.578,1.0077211211412334,,
SLB,2.542,-3.042,0.10143341722289093,-0.08020571178465916,0.004376846482109641
SLE,-20.488000000000003,-17.449,,,
SLV,2.378,-3.23,0.6508244841578175,,-0.008331174997841665
SMR,0.593,,0.2032046613255644,,-0.0291332847778587
SOM,3.929,-4.715,,,
SRB,0.758,-4.711,,,
SSD,-0.17300000000000001,-7.144,0.6928283281039893,,-0.19426266248319138
STP,3.82,-12.995,,,
SUR,-2.5989999999999998,-16.295,0.43023467345824995,,-0.07858832090231035
SVK,3.85,-1.733,0.52340393170843,,-0.012662078406023045
SVN,2.259,4.532,0.8261966681257563,0.504081159718825,-0.005587455261734944
SWE,4.457,4.529,,,
SWZ,0.391,26.084,0.1910359886146528,0.10352087963504503,-0.040940460872616685
SYC,4.9110000000000005,-18.601,0.674154852780807,0.4938386041439477,0.04940021810250817
SYR,,,,,
TCD,1.77,-13.625,,,
TGO,5.742999999999999,-11.027000000000001,,,
THA,3.02,8.0,,,
TJK,6.0,-6.005,0.3428783934548159,,-0.014668815338209164
TKM,6.452999999999999,-15.579,0.2181661465773869,,
TLS,3.955,6.559,0.01481958762886598,,-0.1701030927835052
TON,3.503,-11.958,,,-0.006888633754305397
TTO,1.714,7.64,0.289013865994376,-0.19839684540547528,-0.06173438055528622
TUN,1.153,-8.92,0.554295435214063,0.522682166146867,-0.03314904073339004
TUR,6.086,-3.736,,,
TUV,9.142999999999999,-52.82899999999999,0.574468085106383,,0.02127659574468085
TWN,0.8059999999999999,14.247,,,
TZA,6.954,-8.427,,,
UGA,5.67,-7.127000000000001,,,
UKR,-9.773,1.7209999999999999,,,
URY,0.371,-0.96,,,
USA,2.8810000000000002,-2.238,,,
UVK,4.103,-8.562000000000001,0.18753228861718613,,-0.015670742207680385
UZB,7.9,0.706,,,
VCT,0.836,-14.925,0.7936274509803921,0.7593137254901962,-0.0024509803921568627
VEN,-6.221,-6.6160000000000005,0.4166666666666667,,-0.2166666666666667
VNM,6.678999999999999,-0.062,,,
VUT,0.163,-10.732999999999999,0.38026280828039327,,-0.08720017391724438
WSM,1.635,-3.093,0.577732170343766,,
YEM,-16.678,-6.176,,,
ZAF,1.28,-4.593,,,
ZMB,2.92,-3.911,0.622599942196847,0.5608759904243079,-0.06489221893216855
ZWE,1.4240000000000002,-9.461,0.5192882030861126,,0.00043554006968641115
