,pos,cr,dc,eff,com,prg,amb,red,dur,POS,AMB
AUT1,-0.9,50.0,54.0,1.89,5.13,0,0.042553191,2.0,47,0,0.0425531914893617
AUT2,1.4,50.0,54.0,1.89,5.14,0,0.010344828,0.6,58,1,0.010344827586206896
BEL,0.1,54.54,63.0,1.59,5.2,0,0.04,0.4,10,1,0.04
CZE,-2.4,45.45,50.0,1.01,4.52,0,0.0625,3.5,56,0,0.0625
DEU,-1.8,100.0,60.0,1.55,5.37,0,0.083333333,4.5,54,0,0.08333333333333333
DNK,0.7,100.0,42.0,2.29,5.46,0,0.037209302,1.6,43,1,0.037209302325581395
ESP,-0.9,0.0,58.0,0.98,4.59,0,0.173684211,3.3,19,0,0.17368421052631577
FIN,0.3,100.0,45.0,2.24,5.47,0,0.024561404,1.4,57,1,0.02456140350877193
FRA,-0.3,88.41,42.0,1.44,5.13,0,0.0875,1.4,16,0,0.0875
GBR,-3.7,100.0,49.0,1.56,5.19,0,0.194444444,10.5,54,0,0.19444444444444445
GRC1,0.5,73.73,31.0,0.52,4.04,1,0.192727273,10.6,55,1,0.19272727272727272
GRC2,0.2,73.73,31.0,0.52,3.99,1,0.081481481,4.4,54,1,0.08148148148148149
GRC3,1.4,36.84,31.0,0.52,3.92,1,0.08478260900000001,3.9,46,1,0.08478260869565217
IRL,-1.8,86.28,41.0,1.31,4.74,1,0.6020833329999999,28.9,48,0,0.6020833333333333
ITA1,-0.5,100.0,50.6,0.52,4.37,0,0.080769231,2.1,26,0,0.08076923076923077
ITA2,-1.5,100.0,50.6,0.52,4.37,0,0.153571429,4.3,28,0,0.15357142857142855
ITA3,-1.5,100.0,50.6,0.52,4.43,0,0.166666667,4.0,24,0,0.16666666666666666
PRT1,-1.0,0.0,42.0,1.04,4.38,0,0.20769230800000002,2.7,13,0,0.2076923076923077
PRT2,0.0,66.67,42.0,1.04,4.4,1,0.083870968,2.6,31,1,0.08387096774193549
SVK,0.1,0.0,36.0,0.88,4.19,0,0.063157895,1.2,19,1,0.06315789473684211
