case;pos;cr;dc;eff;com;prg;amb;red;dur
AUT1;-0,9;50;54;1,89;5,13;0;0,042553191;2;47
AUT2;1,4;50;54;1,89;5,14;0;0,010344828;0,6;58
BEL;0,1;54,54;63;1,59;5,2;0;0,04;0,4;10
CZE;-2,4;45,45;50;1,01;4,52;0;0,0625;3,5;56
DEU;-1,8;100;60;1,55;5,37;0;0,083333333;4,5;54
DNK;0,7;100;42;2,29;5,46;0;0,037209302;1,6;43
ESP;-0,9;0;58;0,98;4,59;0;0,173684211;3,3;19
FIN;0,3;100;45;2,24;5,47;0;0,024561404;1,4;57
FRA;-0,3;88,41;42;1,44;5,13;0;0,0875;1,4;16
GBR;-3,7;100;49;1,56;5,19;0;0,194444444;10,5;54
GRC1;0,5;73,73;31;0,52;4,04;1;0,192727273;10,6;55
GRC2;0,2;73,73;31;0,52;3,99;1;0,081481481;4,4;54
GRC3;1,4;36,84;31;0,52;3,92;1;0,084782609;3,9;46
IRL;-1,8;86,28;41;1,31;4,74;1;0,602083333;28,9;48
ITA1;-0,5;100;50,6;0,52;4,37;0;0,080769231;2,1;26
ITA2;-1,5;100;50,6;0,52;4,37;0;0,153571429;4,3;28
ITA3;-1,5;100;50,6;0,52;4,43;0;0,166666667;4;24
PRT1;-1;0;42;1,04;4,38;0;0,207692308;2,7;13
PRT2;0;66,67;42;1,04;4,4;1;0,083870968;2,6;31
SVK;0,1;0;36;0,88;4,19;0;0,063157895;1,2;19
